C.A.,año,tipo de cultivo,litros de agua
Comunitat Valenciana,2007,Olivar y Viñedo,86566
Comunitat Valenciana,2007,Patatas y hortalizas,67934
Comunitat Valenciana,2007,Otros tipos de cultivos,109094
Comunitat Valenciana,2008,Herbáceos,150598
Comunitat Valenciana,2008,Frutales,1037788
Comunitat Valenciana,2008,Olivar y Viñedo,103328
Comunitat Valenciana,2008,Patatas y hortalizas,79921
Comunitat Valenciana,2008,Otros tipos de cultivos,137874
Comunitat Valenciana,2009,Herbáceos,281456
Comunitat Valenciana,2009,Frutales,974166
Comunitat Valenciana,2009,Olivar y Viñedo,82179
Comunitat Valenciana,2009,Patatas y hortalizas,67753
Comunitat Valenciana,2009,Otros tipos de cultivos,45492
Comunitat Valenciana,2010,Herbáceos,267117
Comunitat Valenciana,2010,Frutales,996475
Comunitat Valenciana,2010,Olivar y Viñedo,92418
Comunitat Valenciana,2010,Patatas y hortalizas,68274
Comunitat Valenciana,2010,Otros tipos de cultivos,23208
Comunitat Valenciana,2011,Herbáceos,256688
Comunitat Valenciana,2011,Frutales,740988
Comunitat Valenciana,2011,Olivar y Viñedo,53643
Comunitat Valenciana,2011,Patatas y hortalizas,166500
Comunitat Valenciana,2011,Otros tipos de cultivos,23606
Comunitat Valenciana,2012,Herbáceos,191790
Comunitat Valenciana,2012,Frutales,746111
Comunitat Valenciana,2012,Olivar y Viñedo,50286
Comunitat Valenciana,2012,Patatas y hortalizas,155537
Comunitat Valenciana,2012,Otros tipos de cultivos,25729
Comunitat Valenciana,2013,Herbáceos,149833
Comunitat Valenciana,2013,Frutales,657245
Comunitat Valenciana,2013,Olivar y Viñedo,55030
Comunitat Valenciana,2013,Patatas y hortalizas,150554
Comunitat Valenciana,2013,Otros tipos de cultivos,25958
Comunitat Valenciana,2014,Herbáceos,361267
Comunitat Valenciana,2014,Frutales,819230
Comunitat Valenciana,2014,Olivar y Viñedo,29546
Comunitat Valenciana,2014,Patatas y hortalizas,122225
Comunitat Valenciana,2014,Otros tipos de cultivos,10744
Comunitat Valenciana,2015,Herbáceos,327462
Comunitat Valenciana,2015,Frutales,742573
Comunitat Valenciana,2015,Olivar y Viñedo,26781
Comunitat Valenciana,2015,Patatas y hortalizas,110777
Comunitat Valenciana,2015,Otros tipos de cultivos,10441
Comunitat Valenciana,2016,Herbáceos,361757
Comunitat Valenciana,2016,Frutales,698822
Comunitat Valenciana,2016,Olivar y Viñedo,51856
Comunitat Valenciana,2016,Patatas y hortalizas,113589
Comunitat Valenciana,2016,Otros tipos de cultivos,8778
Extremadura,2000,Herbáceos,887171
Extremadura,2000,Frutales,90730
Extremadura,2000,Olivar y Viñedo,214673
Extremadura,2000,Patatas y hortalizas,137095
Extremadura,2000,Otros tipos de cultivos,77213
Extremadura,2001,Herbáceos,903542
Extremadura,2001,Frutales,97193
Extremadura,2001,Olivar y Viñedo,98518
